hour,minutes,week,isNonstop,isOnlyOnSchooldays
7,4,0,,
7,33,0,,
8,3,0,,
8,48,0,,
9,13,0,,
9,28,0,,
10,4,0,,
10,23,0,,
10,42,0,,
11,3,0,,
11,19,0,,
11,35,0,,
11,51,0,,
12,10,0,,
12,20,0,,
12,30,0,,
12,40,0,,
12,50,0,,
13,4,0,,
13,24,0,,
13,44,0,,
14,4,0,,
14,24,0,,
14,37,0,,
14,41,0,,
14,45,0,,
14,50,0,,
15,9,0,,
15,36,0,,
15,51,0,,
16,10,0,,
16,15,0,,
16,20,0,,
16,24,0,,
16,28,0,,
16,36,0,,
16,51,0,,
17,5,0,,
17,15,0,,
17,25,0,,
17,43,0,,
17,55,0,,
17,59,0,,
18,3,0,,
18,8,0,,
18,14,0,,
18,34,0,,
18,50,0,,
19,10,0,,
19,40,0,,
19,55,0,,
20,10,0,,
20,35,0,,
21,20,0,,
21,49,0,,
22,19,0,,
7,49,1,,
8,19,1,,
8,39,1,,
8,58,1,,
9,17,1,,
9,37,1,,
9,57,1,,
10,17,1,,
10,37,1,,
10,57,1,,
11,17,1,,
11,37,1,,
11,57,1,,
12,17,1,,
12,37,1,,
12,57,1,,
13,17,1,,
13,37,1,,
13,57,1,,
14,17,1,,
14,37,1,,
14,57,1,,
15,17,1,,
15,37,1,,
15,57,1,,
16,17,1,,
16,37,1,,
16,57,1,,
17,17,1,,
17,37,1,,
17,57,1,,
19,44,1,,
21,30,1,,
7,59,2,,
8,41,2,,
9,9,2,,
9,41,2,,
10,11,2,,
10,41,2,,
11,11,2,,
11,41,2,,
12,11,2,,
12,41,2,,
13,11,2,,
13,41,2,,
14,11,2,,
14,41,2,,
15,11,2,,
15,41,2,,
16,11,2,,
16,41,2,,
17,11,2,,
7,59,3,,
8,41,3,,
9,9,3,,
9,41,3,,
10,11,3,,
10,41,3,,
11,11,3,,
11,41,3,,
11,50,3,,
12,11,3,,
12,20,3,,
12,30,3,,
12,41,3,,
13,11,3,,
13,41,3,,
14,11,3,,
14,41,3,,
14,45,3,,
14,50,3,,
15,11,3,,
15,41,3,,
16,11,3,,
16,15,3,,
16,25,3,,
16,30,3,,
16,41,3,,
17,11,3,,
17,20,3,,
17,30,3,,
17,40,3,,
17,50,3,,
18,0,3,,
18,10,3,,
18,20,3,,
18,30,3,,
20,0,3,,
