hour,minutes,week,isNonstop,isOnlyOnSchooldays
6,35,0,,
7,1,0,,
7,44,0,,
8,10,0,,
9,5,0,,
9,18,0,,
9,30,0,,
9,45,0,,
10,40,0,,
11,3,0,,
11,40,0,,
12,39,0,,
13,7,0,,
13,43,0,,
14,41,0,,
15,20,0,,
16,25,0,,
16,31,0,,
16,49,0,,
17,10,0,,
17,38,0,,
18,1,0,,
18,10,0,,
18,30,0,,
19,36,0,,
19,45,0,,
20,16,0,,
20,45,0,,
21,30,0,,
22,31,0,,
7,4,1,,
7,46,1,,
8,10,1,,
9,14,1,,
9,48,1,,
10,48,1,,
11,49,1,,
12,42,1,,
13,48,1,,
14,39,1,,
15,22,1,,
15,35,1,,
16,28,1,,
17,2,1,,
17,29,1,,
18,12,1,,
19,41,1,,
20,51,1,,
22,8,1,,
7,46,2,,
9,48,2,,
10,27,2,,
11,37,2,,
12,29,2,,
13,37,2,,
14,46,2,,
15,51,2,,
17,2,2,,
17,49,2,,
18,13,2,,
19,31,2,,
20,40,2,,
22,2,2,,
7,46,3,,
9,48,3,,
10,27,3,,
11,37,3,,
12,0,3,,
12,29,3,,
12,40,3,,
13,37,3,,
14,46,3,,
15,51,3,,
16,20,3,,
17,2,3,,
17,49,3,,
17,55,3,,
18,13,3,,
19,31,3,,
19,55,3,,
20,40,3,,
21,30,3,,
22,2,3,,
