hour,minutes,week,isNonstop,isOnlyOnSchooldays
6,35,0,,
7,23,0,,
7,55,0,,
8,8,0,,
8,13,0,,
8,18,0,,
8,22,0,,
8,26,0,,
8,29,0,,
8,32,0,,
8,35,0,,
8,40,0,,
8,45,0,,
8,55,0,,
9,15,0,,
9,25,0,,
9,35,0,,
9,47,0,,
9,55,0,,
10,0,0,,
10,5,0,,
10,10,0,,
10,15,0,,
10,25,0,,
10,35,0,,
10,43,0,,
10,55,0,,
11,15,0,,
11,35,0,,
11,50,0,,
12,5,0,,
12,20,0,,
12,30,0,,
12,35,0,,
12,50,0,,
13,10,0,,
13,35,0,,
13,50,0,,
14,5,0,,
14,20,0,,
14,40,0,,
15,5,0,,
15,20,0,,
15,35,0,,
15,50,0,,
16,5,0,,
16,20,0,,
16,35,0,,
16,50,0,,
17,5,0,,
17,20,0,,
17,35,0,,
17,50,0,,
18,5,0,,
18,20,0,,
18,35,0,,
18,50,0,,
19,5,0,,
19,20,0,,
19,35,0,,
19,50,0,,
20,10,0,,
20,30,0,,
20,50,0,,
21,20,0,,
21,50,0,,
23,1,0,,
8,0,1,,
8,14,1,,
8,28,1,,
8,44,1,,
9,2,1,,
9,20,1,,
9,38,1,,
9,55,1,,
10,10,1,,
10,30,1,,
10,50,1,,
11,10,1,,
11,30,1,,
11,50,1,,
12,10,1,,
12,30,1,,
12,50,1,,
13,10,1,,
13,30,1,,
13,50,1,,
14,10,1,,
14,30,1,,
14,50,1,,
15,10,1,,
15,30,1,,
15,50,1,,
16,10,1,,
16,30,1,,
16,50,1,,
17,10,1,,
17,30,1,,
17,50,1,,
21,0,1,,
8,5,2,,
8,33,2,,
8,50,2,,
9,10,2,,
9,40,2,,
10,10,2,,
10,40,2,,
11,10,2,,
11,40,2,,
12,10,2,,
12,40,2,,
13,10,2,,
13,40,2,,
14,10,2,,
14,40,2,,
15,10,2,,
15,40,2,,
16,10,2,,
16,40,2,,
17,10,2,,
8,5,3,,
8,10,3,,
8,15,3,,
8,20,3,,
8,25,3,,
8,30,3,,
8,33,3,,
8,36,3,,
8,40,3,,
8,50,3,,
8,55,3,,
9,10,3,,
9,20,3,,
9,30,3,,
9,40,3,,
9,50,3,,
9,55,3,,
10,0,3,,
10,10,3,,
10,20,3,,
10,40,3,,
11,10,3,,
11,40,3,,
12,0,3,,
12,10,3,,
12,20,3,,
12,30,3,,
12,40,3,,
13,10,3,,
13,40,3,,
14,10,3,,
14,40,3,,
15,10,3,,
15,40,3,,
16,10,3,,
16,40,3,,
17,10,3,,
19,10,3,,
