hour,minutes,week,isNonstop,isOnlyOnSchooldays
6,20,0,,
7,3,0,,
7,29,0,,
8,20,0,,
8,25,0,,
8,31,0,,
8,34,0,,
8,38,0,,
9,35,0,,
9,55,0,,
10,10,0,,
10,22,0,,
11,10,0,,
11,56,0,,
12,30,0,,
13,2,0,,
13,22,0,,
13,58,0,,
14,15,0,,
14,45,0,,
15,10,0,,
15,58,0,,
16,30,0,,
16,45,0,,
16,59,0,,
17,18,0,,
17,38,0,,
18,5,0,,
18,40,0,,
19,5,0,,
19,35,0,,
20,45,0,,
21,50,0,,
6,23,1,,
7,5,1,,
7,29,1,,
8,30,1,,
9,5,1,,
10,5,1,,
11,12,1,,
12,1,1,,
12,25,1,,
13,7,1,,
14,5,1,,
14,39,1,,
15,5,1,,
15,47,1,,
16,21,1,,
17,30,1,,
18,55,1,,
20,10,1,,
21,27,1,,
7,5,2,,
8,10,2,,
9,5,2,,
9,55,2,,
10,55,2,,
11,48,2,,
12,55,2,,
13,30,2,,
14,5,2,,
15,10,2,,
16,21,2,,
17,30,2,,
18,50,2,,
19,59,2,,
21,21,2,,
7,5,3,,
8,10,3,,
8,20,3,,
8,30,3,,
9,5,3,,
9,30,3,,
9,55,3,,
10,10,3,,
10,15,3,,
10,55,3,,
11,48,3,,
12,30,3,,
12,55,3,,
13,30,3,,
14,0,3,,
15,10,3,,
16,21,3,,
17,30,3,,
18,50,3,,
19,59,3,,
21,21,3,,
